track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_songs,popular,genre_pop,genre_rap,genre_dance pop,genre_hip hop,genre_pop rap,genre_rock,genre_r&b,genre_trap,genre_urban contemporary,genre_southern hip hop,genre_modern rock,genre_electro,genre_edm,genre_canadian pop,genre_house
71,69,0.797,0.75,0.0,97.0,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0,2,False,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
71,63,0.509,0.774,6.0,60.0,1.0,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,56,0.667,0.773,5.0,69.0,0.0,0.0586,0.201,0.0,0.404,0.667,89.976,250707.0,1,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,80,0.854,0.673,4.0,49.0,0.0,0.185,0.038,0.000227,0.255,0.955,95.0,337733.0,1,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,55,0.51,0.48,11.0,81.0,1.0,0.0452,0.503,0.0,0.106,0.496,182.862,196987.0,2,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,57,0.33,0.905,4.0,70.0,1.0,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,228800.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,55,0.382,0.416,0.0,96.0,1.0,0.0302,0.0733,0.0,0.0719,0.125,102.089,221693.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,63,0.562,0.594,3.0,66.0,0.0,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0,1,False,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
70,62,0.541,0.864,1.0,69.0,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,73,0.786,0.842,4.0,70.0,0.0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,221227.0,4,False,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
69,74,0.624,0.899,0.0,75.0,1.0,0.0296,0.0221,0.000137,0.0975,0.79,104.061,193373.0,1,False,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
69,57,0.802,0.341,7.0,93.0,1.0,0.488,0.169,0.0,0.0783,0.849,166.01,197760.0,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,67,0.645,0.921,6.0,72.0,0.0,0.0302,0.00809,1.08e-05,0.407,0.864,129.0,186440.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,63,0.78,0.634,1.0,77.0,1.0,0.16,0.0199,2.98e-05,0.29,0.754,125.25,304507.0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
69,73,0.708,0.587,11.0,89.0,0.0,0.151,0.273,0.0,0.0718,0.554,83.46,262133.0,4,False,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
69,50,0.644,0.981,7.0,82.0,0.0,0.0439,0.0271,9.67e-05,0.11,0.379,140.012,220973.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,60,0.596,0.661,5.0,79.0,0.0,0.226,0.31,0.0,0.0847,0.86,129.491,232573.0,1,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
68,69,0.73,0.602,6.0,57.0,0.0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133.0,3,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
68,65,0.55,0.587,2.0,79.0,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,284760.0,1,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,65,0.878,0.724,10.0,73.0,0.0,0.129,0.168,0.0116,0.133,0.904,121.906,295400.0,1,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0.831,0.79,1.0,67.0,0.0,0.165,0.0024,0.0,0.0515,0.791,93.14,262827.0,1,False,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
67,67,0.544,0.659,9.0,85.0,1.0,0.0298,0.427,1.33e-06,0.126,0.361,109.933,274933.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,54,0.747,0.706,4.0,66.0,1.0,0.0413,0.0844,0.00355,0.174,0.567,94.019,185013.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,64,0.677,0.52,4.0,79.0,0.0,0.334,0.00277,0.0,0.0532,0.768,203.862,193093.0,2,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
65,49,0.464,0.922,0.0,92.0,1.0,0.0638,0.124,0.227,0.0546,0.695,129.078,213133.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,63,0.753,0.934,2.0,47.0,1.0,0.0736,0.0174,0.065,0.128,0.73,113.525,329933.0,1,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
67,69,0.84,0.835,1.0,64.0,0.0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,207907.0,3,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
64,74,0.518,0.866,9.0,65.0,1.0,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,215824.0,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,56,0.933,0.561,11.0,77.0,1.0,0.122,0.0275,0.0,0.102,0.586,139.976,254400.0,1,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
64,54,0.639,0.534,5.0,74.0,1.0,0.0281,0.508,0.0,0.0948,0.434,122.931,240492.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,82,0.618,0.844,1.0,60.0,0.0,0.342,0.0178,0.000126,0.0634,0.697,84.411,240627.0,1,False,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
63,44,0.637,0.929,5.0,78.0,0.0,0.0447,0.063,0.00796,0.318,0.604,136.482,254640.0,1,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,62,0.682,0.744,8.0,84.0,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,257200.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,44,0.739,0.679,0.0,70.0,1.0,0.0373,0.000424,0.0187,0.389,0.786,127.487,234400.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,67,0.875,0.774,6.0,61.0,1.0,0.309,0.0547,0.0,0.0414,0.606,106.027,257133.0,2,False,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
63,54,0.822,0.672,7.0,78.0,1.0,0.0329,0.0285,0.0,0.213,0.91,117.033,233627.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,75,0.589,0.687,2.0,79.0,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,276067.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
61,40,0.697,0.925,3.0,62.0,0.0,0.216,0.0614,0.0,0.095,0.678,96.951,295827.0,1,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,53,0.612,0.579,1.0,80.0,0.0,0.0553,0.285,0.0,0.0556,0.716,86.31,284667.0,1,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
61,58,0.582,0.707,10.0,65.0,1.0,0.0319,0.0822,0.0,0.0467,0.701,78.375,207560.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,58,0.675,0.775,4.0,76.0,1.0,0.0522,0.0387,0.0,0.383,0.933,99.945,217853.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,73,0.711,0.87,0.0,65.0,0.0,0.0484,0.0804,0.000306,0.138,0.569,99.843,245360.0,4,False,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
60,47,0.897,0.466,10.0,95.0,0.0,0.203,0.187,1.35e-06,0.0757,0.884,100.01,223133.0,1,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,60,0.751,0.568,5.0,73.0,0.0,0.0872,0.136,0.0,0.0288,0.646,128.002,246720.0,1,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
60,57,0.377,0.395,3.0,93.0,1.0,0.0332,0.61,0.0,0.295,0.221,133.296,253373.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,55,0.558,0.481,8.0,97.0,1.0,0.026,0.315,8.83e-06,0.09,0.631,144.673,219093.0,2,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,78,0.757,0.706,8.0,82.0,1.0,0.203,0.0267,0.0,0.197,0.375,96.976,266507.0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,41,0.661,0.855,8.0,92.0,1.0,0.0377,0.0722,0.0185,0.199,0.601,123.943,253587.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,54,0.585,0.702,0.0,75.0,1.0,0.0325,0.538,0.0,0.216,0.51,139.909,201533.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0.541,0.899,1.0,79.0,1.0,0.0633,0.0178,2.95e-06,0.286,0.829,106.676,212973.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,67,0.514,0.497,11.0,78.0,1.0,0.0264,0.146,0.0,0.13,0.316,109.085,259187.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,64,0.66,0.71,1.0,65.0,1.0,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,264933.0,2,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
58,38,0.743,0.894,8.0,83.0,1.0,0.0349,0.0755,0.00283,0.367,0.77,95.9,257427.0,1,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,62,0.767,0.759,6.0,81.0,1.0,0.117,0.0513,0.0,0.31,0.677,89.989,213027.0,1,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,57,0.569,0.385,1.0,99.0,0.0,0.0499,0.342,0.0,0.0876,0.339,99.738,304667.0,1,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,42,0.676,0.715,6.0,83.0,1.0,0.0287,0.00283,0.0767,0.0685,0.275,129.006,231167.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,73,0.775,0.729,1.0,62.0,0.0,0.162,0.0303,0.00247,0.0361,0.895,104.719,211493.0,4,False,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,41,0.721,0.723,2.0,85.0,0.0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440.0,1,False,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
57,54,0.578,0.581,0.0,83.0,1.0,0.0318,0.0658,0.0042,0.0674,0.408,83.293,195507.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,68,0.653,0.837,6.0,83.0,0.0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,326240.0,2,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57,69,0.622,0.669,9.0,92.0,1.0,0.329,0.0266,2.97e-06,0.152,0.57,93.839,252987.0,2,False,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
